year;ppm
1765;277.01467
1766;277.8388
1767;278.69351
1768;278.74752
1769;278.79644
1770;278.84896
1771;278.88421
1772;278.92512
1773;278.99387
1774;279.06906
1775;279.1513
1776;279.2424
1777;279.34214
1778;279.44672
1779;279.55094
1780;279.65007
1781;279.71846
1782;279.78173
1783;279.86798
1784;279.95858
1785;280.05821
1786;280.16952
1787;280.29117
1788;280.41905
1789;280.54845
1790;280.67599
1791;280.77766
1792;280.87905
1793;281.00453
1794;281.12966
1795;281.25415
1796;281.37816
1797;281.47794
1798;281.57703
1799;281.69873
1800;281.7953
1801;281.89146
1802;281.96434
1803;282.06097
1804;282.20419
1805;282.32288
1806;282.41845
1807;282.51428
1808;282.63057
1809;282.73903
1810;282.8364
1811;282.90004
1812;282.9574
1813;283.03571
1814;283.11463
1815;283.17382
1816;283.21462
1817;283.25897
1818;283.32685
1819;283.4149
1820;283.49758
1821;283.57508
1822;283.62677
1823;283.65484
1824;283.70645
1825;283.76004
1826;283.8156
1827;283.87272
1828;283.93097
1829;284.0128
1830;283.96219
1831;283.89979
1832;283.8817
1833;283.77007
1834;283.66423
1835;283.55955
1836;283.36933
1837;283.20262
1838;283.15294
1839;283.15861
1840;283.1704
1841;283.21078
1842;283.30585
1843;283.42935
1844;283.57864
1845;283.71288
1846;283.88515
1847;284.05105
1848;284.22002
1849;284.38831
1850;284.47783
1851;284.6785
1852;284.4941
1853;284.2542
1854;284.31698
1855;284.37752
1856;284.48655
1857;284.57144
1858;284.75751
1859;284.87162
1860;284.54001
1861;283.90984
1862;284.24023
1863;284.82703
1864;284.92869
1865;284.90678
1866;284.53849
1867;284.13273
1868;284.15643
1869;284.50991
1870;284.76049
1871;284.4221
1872;283.27687
1873;282.35666
1874;282.41152
1875;282.73787
1876;283.19648
1877;283.93288
1878;284.51148
1879;284.74683
1880;284.54128
1881;284.58021
1882;285.21573
1883;285.70213
1884;286.0759
1885;286.62046
1886;287.06145
1887;287.22534
1888;286.96157
1889;286.96533
1890;287.04595
1891;286.86678
1892;286.80077
1893;286.76394
1894;286.66071
1895;286.45183
1896;286.39693
1897;286.48722
1898;286.5877
1899;286.67626
1900;286.79938
1901;286.77043
1902;286.76808
1903;286.79694
1904;286.84493
1905;287.01406
1906;287.05312
1907;287.07137
1908;287.53578
1909;288.17921
1910;288.48048
1911;288.96295
1912;289.66408
1913;290.20208
1914;290.93296
1915;291.78371
1916;292.2385
1917;292.54437
1918;292.99248
1919;293.81347
1920;294.37098
1921;294.95151
1922;295.68377
1923;295.58615
1924;295.65484
1925;296.25067
1926;296.81103
1927;297.14059
1928;297.49651
1929;297.96527
1930;298.61802
1931;299.6497
1932;300.71564
1933;301.45026
1934;301.83497
1935;302.24383
1936;302.53336
1937;302.82266
1938;303.56161
1939;304.10605
1940;304.10083
1941;303.847
1942;303.56374
1943;303.42564
1944;303.26736
1945;303.23386
1946;303.00439
1947;302.45801
1948;302.01134
1949;301.9696
1950;301.92017
1951;300.87693
1952;299.88451
1953;299.76378
1954;299.76984
1955;299.80994
1956;299.87995
1957;300.01814
1958;300.42588
1959;301.36642
1960;302.54075
1961;302.71708
1962;302.62276
1963;303.11374
1964;303.60921
1965;304.41983
1966;305.56389
1967;306.5942
1968;307.80774
1969;309.59802
1970;311.80753
1971;314.08678
1972;316.19275
1973;318.11545
1974;319.5999
1975;320.88163
1976;322.19127
1977;323.87398
1978;326.20992
1979;328.74045
1980;330.86448
1981;332.22762
1982;333.03368
1983;334.24432
1984;336.14519
1985;338.19811
1986;340.22271
1987;342.40873
1988;345.08452
1989;347.72931
1990;349.91054
1991;351.18907
1992;351.54763
1993;352.27475
1994;353.73698
1995;355.93868
1996;358.2628
1997;359.83008
1998;361.47123
1999;363.28251
2000;364.36712
2001;365.65347
2002;367.97846
2003;370.51984
2004;372.78524
2005;375.10733
2006;377.78302
2007;380.58411
2008;383.52121
2009;386.70186
2010;390.12466
2011;393.80038
2012;397.55122
2013;401.14961
2014;404.6121
2015;407.97407
2016;411.24161
2017;414.41543
2018;417.49975
2019;420.54587
2020;423.46397
2021;426.13517
2022;428.59283
2023;430.90787
2024;433.14977
2025;435.33254
2026;437.45807
2027;439.51961
2028;441.50756
2029;443.41805
2030;445.15424
2031;446.61843
2032;447.94001
2033;449.21029
2034;450.3993
2035;451.51977
2036;452.57601
2037;453.56851
2038;454.48974
2039;455.32873
2040;455.97977
2041;456.34012
2042;456.51933
2043;456.61284
2044;456.61779
2045;456.55646
2046;456.44117
2047;456.27749
2048;456.07196
2049;455.82122
2050;455.44144
2051;454.85279
2052;454.14536
2053;453.41568
2054;452.65504
2055;451.86092
2056;451.05176
2057;450.2375
2058;449.42024
2059;448.59908
2060;447.8341
2061;447.18314
2062;446.5635
2063;445.9207
2064;445.27723
2065;444.61902
2066;443.94355
2067;443.26882
2068;442.60433
2069;441.9517
2070;441.34334
2071;440.80241
2072;440.29959
2073;439.80947
2074;439.32684
2075;438.85022
2076;438.36713
2077;437.87643
2078;437.39719
2079;436.9398
2080;436.47529
2081;435.97125
2082;435.47216
2083;434.99707
2084;434.51701
2085;434.03063
2086;433.53784
2087;433.02784
2088;432.50084
2089;431.97678
2090;431.47294
2091;430.99896
2092;430.54808
2093;430.11047
2094;429.68013
2095;429.25077
2096;428.82102
2097;428.39079
2098;427.94949
2099;427.49743
2100;426.9627
2101;426.26508
2102;425.54487
2103;424.89771
2104;424.27311
2105;423.65808
2106;423.04592
2107;422.43493
2108;421.82474
2109;421.20468
2110;420.57496
2111;419.95484
2112;419.35489
2113;418.77775
2114;418.22299
2115;417.6819
2116;417.14286
2117;416.60018
2118;416.05294
2119;415.50145
2120;414.9358
2121;414.35674
2122;413.7837
2123;413.22739
2124;412.69062
2125;412.17267
2126;411.66423
2127;411.15823
2128;410.65346
2129;410.14861
2130;409.64385
2131;409.12927
2132;408.60556
2133;408.09179
2134;407.59837
2135;407.12789
2136;406.67994
2137;406.24609
2138;405.81515
2139;405.38175
2140;404.94518
2141;404.50587
2142;404.05437
2143;403.59166
2144;403.13677
2145;402.70009
2146;402.28424
2147;401.88886
2148;401.50569
2149;401.12375
2150;400.73785
2151;400.3474
2152;399.95292
2153;399.54519
2154;399.12532
2155;398.71219
2156;398.31607
2157;397.93956
2158;397.58227
2159;397.23602
2160;396.88999
2161;396.53912
2162;396.18289
2163;395.82185
2164;395.44698
2165;395.05948
2166;394.67807
2167;394.3129
2168;393.96649
2169;393.63842
2170;393.32058
2171;393.00229
2172;392.67858
2173;392.34897
2174;392.01405
2175;391.66498
2176;391.30302
2177;390.94672
2178;390.60611
2179;390.28365
2180;389.97887
2181;389.68372
2182;389.38764
2183;389.08573
2184;388.77757
2185;388.46376
2186;388.13561
2187;387.79445
2188;387.45867
2189;387.13817
2190;386.83535
2191;386.54969
2192;386.27319
2193;385.99539
2194;385.71149
2195;385.42107
2196;385.12479
2197;384.81407
2198;384.49029
2199;384.1717
2200;383.86809
2201;383.58177
2202;383.31219
2203;383.05139
2204;382.78901
2205;382.52032
2206;382.24493
2207;381.96352
2208;381.66763
2209;381.3587
2210;381.05482
2211;380.76568
2212;380.49351
2213;380.23773
2214;379.99041
2215;379.74129
2216;379.4857
2217;379.22328
2218;378.95471
2219;378.67167
2220;378.37565
2221;378.08459
2222;377.80806
2223;377.54824
2224;377.30449
2225;377.06894
2226;376.8314
2227;376.58726
2228;376.33619
2229;376.0789
2230;375.80717
2231;375.52253
2232;375.24279
2233;374.97741
2234;374.7285
2235;374.4954
2236;374.27024
2237;374.04295
2238;373.80895
2239;373.56796
2240;373.32068
2241;373.05902
2242;372.78453
2243;372.5149
2244;372.25949
2245;372.02035
2246;371.79675
2247;371.58089
2248;371.36276
2249;371.13785
2250;370.90589
2251;370.66759
2252;370.41497
2253;370.14964
2254;369.88913
2255;369.64271
2256;369.41237
2257;369.19735
2258;368.98988
2259;368.78001
2260;368.5633
2261;368.3395
2262;368.10933
2263;367.86491
2264;367.60788
2265;367.35566
2266;367.11742
2267;366.89509
2268;366.68786
2269;366.488
2270;366.28565
2271;366.0764
2272;365.86002
2273;365.63725
2274;365.40031
2275;365.15087
2276;364.90624
2277;364.67548
2278;364.46047
2279;364.26038
2280;364.06747
2281;363.87198
2282;363.66955
2283;363.45997
2284;363.24399
2285;363.01391
2286;362.77145
2287;362.5338
2288;362.30992
2289;362.10165
2290;361.9081
2291;361.72159
2292;361.53241
2293;361.33625
2294;361.13292
2295;360.92318
2296;360.69943
2297;360.46342
2298;360.23221
2299;360.0147
2300;359.81265
2301;359.62516
2302;359.44455
2303;359.26119
2304;359.07082
2305;358.87327
2306;358.6693
2307;358.45141
2308;358.22138
2309;357.99616
2310;357.78455
2311;357.58828
2312;357.40639
2313;357.23126
2314;357.05329
2315;356.86829
2316;356.6761
2317;356.47749
2318;356.26504
2319;356.04057
2320;355.82093
2321;355.61483
2322;355.42393
2323;355.24726
2324;355.07721
2325;354.90427
2326;354.72426
2327;354.53705
2328;354.34344
2329;354.13607
2330;353.9168
2331;353.70237
2332;353.50141
2333;353.31554
2334;353.14374
2335;352.97844
2336;352.81017
2337;352.63482
2338;352.45228
2339;352.26332
2340;352.06071
2341;351.84631
2342;351.63677
2343;351.44064
2344;351.25947
2345;351.09223
2346;350.93137
2347;350.76748
2348;350.5965
2349;350.41831
2350;350.23373
2351;350.03557
2352;349.82575
2353;349.62081
2354;349.4292
2355;349.25246
2356;349.08951
2357;348.9328
2358;348.77303
2359;348.60614
2360;348.43205
2361;348.25157
2362;348.05761
2363;347.8521
2364;347.65149
2365;347.46416
2366;347.29158
2367;347.13266
2368;346.97988
2369;346.82396
2370;346.66092
2371;346.49069
2372;346.31408
2373;346.12408
2374;345.92264
2375;345.72612
2376;345.54283
2377;345.37419
2378;345.21907
2379;345.06998
2380;344.91772
2381;344.75831
2382;344.59171
2383;344.41875
2384;344.23249
2385;344.03491
2386;343.84227
2387;343.6628
2388;343.49789
2389;343.34637
2390;343.20077
2391;343.05195
2392;342.89597
2393;342.73282
2394;342.56331
2395;342.38059
2396;342.18667
2397;341.99771
2398;341.82187
2399;341.6605
2400;341.51238
2401;341.37009
2402;341.22453
2403;341.07181
2404;340.91191
2405;340.74568
2406;340.56632
2407;340.37588
2408;340.19043
2409;340.01804
2410;339.86002
2411;339.71514
2412;339.57599
2413;339.43352
2414;339.28389
2415;339.12709
2416;338.96397
2417;338.78781
2418;338.60068
2419;338.41856
2420;338.24947
2421;338.09465
2422;337.95285
2423;337.81668
2424;337.67716
2425;337.53046
2426;337.3766
2427;337.21645
2428;337.04334
2429;336.85937
2430;336.68044
2431;336.51448
2432;336.36272
2433;336.22386
2434;336.09053
2435;335.9538
2436;335.8099
2437;335.65885
2438;335.50152
2439;335.33132
2440;335.15038
2441;334.97449
2442;334.81154
2443;334.66269
2444;334.52663
2445;334.39602
2446;334.26197
2447;334.12073
2448;333.97236
2449;333.81773
2450;333.65032
2451;333.47227
2452;333.2993
2453;333.13922
2454;332.99317
2455;332.85979
2456;332.73177
2457;332.60027
2458;332.46158
2459;332.31578
2460;332.16373
2461;331.99898
2462;331.82371
2463;331.65354
2464;331.49623
2465;331.35285
2466;331.22204
2467;331.0965
2468;330.96744
2469;330.8312
2470;330.68785
2471;330.53827
2472;330.37608
2473;330.20347
2474;330.036
2475;329.88133
2476;329.74052
2477;329.61218
2478;329.48902
2479;329.3623
2480;329.2284
2481;329.08741
2482;328.9402
2483;328.78047
2484;328.61043
2485;328.44554
2486;328.29343
2487;328.15509
2488;328.02911
2489;327.90823
2490;327.78377
2491;327.65211
2492;327.51338
2493;327.36845
2494;327.21108
2495;327.04351
2496;326.88112
2497;326.73146
2498;326.59551
2499;326.47181
2500;326.41262
